City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Katsuura,35.1333,140.3,51.8,82,75,1.14,JP,1614884814
Ushuaia,-54.8,-68.3,59.0,47,40,4.61,AR,1614884947
Cape Town,-33.9258,18.4232,68.0,63,20,11.5,ZA,1614885165
Lima,-12.0432,-77.0282,80.6,65,0,6.91,PE,1614885000
Albany,42.6001,-73.9662,35.01,36,11,8.99,US,1614885104
Zelenogradsk,54.9589,20.4767,33.01,86,0,11.18,RU,1614885027
Srednekolymsk,67.45,153.6833,-11.0,89,100,19.35,RU,1614884943
Henties Bay,-22.116,14.2845,71.92,62,0,11.72,NA,1614885167
Meulaboh,4.1363,96.1285,78.33,86,75,3.44,ID,1614885167
Khani,41.9563,42.9566,33.8,80,0,2.3,GE,1614885169
Rikitea,-23.1203,-134.9692,79.7,74,5,1.86,PF,1614884913
Grande Prairie,55.1667,-118.8027,24.8,74,75,4.61,CA,1614885170
Maromitsa,59.8683,48.0123,9.18,95,100,9.95,RU,1614885170
Bredasdorp,-34.5322,20.0403,59.0,100,31,1.14,ZA,1614885105
Port Elizabeth,-33.918,25.5701,68.0,88,0,9.22,ZA,1614884583
Nueva Loja,0.0847,-76.8828,84.2,65,75,4.61,EC,1614885170
Kuala Terengganu,5.3302,103.1408,80.6,83,20,3.44,MY,1614884908
Kaura Namoda,12.5898,6.5779,82.78,14,0,9.8,NG,1614885171
Avila,40.5833,-5.0,48.2,71,20,4.61,ES,1614885171
Hobyo,5.3505,48.5268,78.24,77,100,17.63,SO,1614884816
Puerto Ayora,-0.7393,-90.3518,84.2,79,75,9.22,EC,1614884636
Malanje,-9.5402,16.341,66.9,92,100,2.28,AO,1614885172
Kaitangata,-46.2817,169.8464,53.01,60,100,5.21,NZ,1614884998
Kahului,20.8947,-156.47,73.4,64,20,9.22,US,1614884815
Cukai,4.25,103.4167,80.6,83,20,4.61,MY,1614885172
Caravelas,-17.7125,-39.2481,82.6,59,59,8.1,BR,1614884918
Khatanga,71.9667,102.5,-27.47,78,0,11.74,RU,1614884971
Hithadhoo,-0.6,73.0833,82.89,71,96,8.63,MV,1614884577
Charters Towers,-20.1,146.2667,70.65,84,99,9.08,AU,1614884701
Pevek,69.7008,170.3133,-3.28,91,100,4.65,RU,1614884645
Upernavik,72.7868,-56.1549,-12.17,83,100,17.38,GL,1614884644
Jamestown,42.097,-79.2353,26.01,89,90,14.72,US,1614885173
Cascais,38.6979,-9.4215,55.0,84,100,6.67,PT,1614885174
George Town,5.4112,100.3354,82.4,94,20,2.3,MY,1614885102
Vaini,-21.2,-175.2,77.0,94,75,2.3,TO,1614885174
Saint Anthony,45.0205,-93.218,44.6,39,75,9.22,US,1614885174
Portland,45.5234,-122.6762,54.0,58,75,11.5,US,1614884570
Porto-Novo,6.4965,2.6036,86.0,84,40,14.97,BJ,1614885175
Yur’yevets,57.3201,43.1041,12.6,96,0,6.89,RU,1614885175
Natal,-5.795,-35.2094,86.0,70,75,20.71,BR,1614884911
Kalabo,-14.97,22.6814,68.56,84,100,3.85,ZM,1614885175
Carauari,-4.8828,-66.8958,79.83,87,100,4.76,BR,1614885175
Sørland,67.667,12.6934,28.4,100,90,20.71,NO,1614885069
Kaliua,-5.0606,31.7936,68.11,85,100,2.17,TZ,1614885176
Hobart,-42.8794,147.3294,52.0,58,40,13.8,AU,1614884911
Władysławowo,54.7909,18.4009,32.0,74,75,8.05,PL,1614885177
Along,28.1667,94.7667,58.3,80,88,1.25,IN,1614884902
Thompson,55.7435,-97.8558,21.2,68,20,3.44,CA,1614884951
Poronaysk,49.2167,143.1167,34.18,92,100,12.01,RU,1614884948
Rocha,-34.4833,-54.3333,77.67,74,100,10.47,UY,1614884546
Punta Arenas,-53.15,-70.9167,64.4,27,0,19.57,CL,1614884954
Severo-Kuril'sk,50.6789,156.125,30.74,97,89,26.64,RU,1614885021
Dubbo,-32.25,148.6167,51.8,76,0,4.79,AU,1614885226
Hasaki,35.7333,140.8333,48.0,100,75,2.3,JP,1614885226
Tegul'det,57.3064,88.1667,23.61,97,100,11.74,RU,1614885226
Belaya Gora,68.5333,146.4167,-14.58,86,100,25.08,RU,1614885227
Codrington,-38.2667,141.9667,55.22,78,67,9.17,AU,1614885227
Hollola,61.05,25.4333,19.99,90,96,1.01,FI,1614885227
Safi,32.2994,-9.2372,60.84,81,100,4.9,MA,1614885228
Vanavara,60.34,102.2797,-6.9,93,100,8.1,RU,1614885228
Port Moresby,-9.4431,147.1797,76.06,80,98,11.39,PG,1614884685
Port Alfred,-33.5906,26.891,70.0,90,47,1.99,ZA,1614885228
Havre-St-Pierre,50.2334,-63.5986,23.0,80,90,27.63,CA,1614885229
Esperance,-33.8667,121.9,66.2,88,91,11.5,AU,1614884759
Sozimskiy,59.7418,52.2482,22.82,98,100,6.8,RU,1614885230
Hermanus,-34.4187,19.2345,63.0,86,100,6.53,ZA,1614885230
Coquimbo,-29.9533,-71.3436,64.4,82,75,11.5,CL,1614884642
Margate,51.3813,1.3862,42.01,76,100,5.01,GB,1614885133
Atuona,-9.8,-139.0333,80.04,72,4,12.68,PF,1614884945
Norman Wells,65.282,-126.8329,-22.0,69,75,2.3,CA,1614884953
Vao,-22.6667,167.4833,76.84,80,94,15.97,NC,1614884635
Sungai Raya,0.7,108.9,76.1,90,97,6.53,ID,1614885066
Tiksi,71.6872,128.8694,-21.98,87,99,5.64,RU,1614885234
Barrow,71.2906,-156.7887,-25.6,68,1,10.36,US,1614885104
