City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kloulklubed,7.0419,134.2556,86.0,66,75,13.8,PW,1614909355
Semey,50.4111,80.2275,23.0,93,75,20.13,KZ,1614909308
Mataura,-46.1927,168.8643,58.51,65,100,4.85,NZ,1614909357
Cape Town,-33.9258,18.4232,69.01,68,0,16.11,ZA,1614909249
Kingaroy,-26.5333,151.8333,80.6,44,40,6.91,AU,1614909357
Oktyabr'skoye,43.0645,44.7417,21.2,93,0,8.95,RU,1614909357
Upernavik,72.7868,-56.1549,-14.21,82,0,17.0,GL,1614909358
Lavrentiya,65.5833,-171.0,12.97,94,100,16.33,RU,1614909359
George Town,5.4112,100.3354,84.99,78,20,4.61,MY,1614909360
Puerto Colombia,10.9878,-74.9547,77.0,78,0,11.5,CO,1614909360
Vila Franca do Campo,37.7167,-25.4333,55.4,76,20,20.71,PT,1614909357
Rikitea,-23.1203,-134.9692,81.95,73,100,5.79,PF,1614909362
Hobart,-42.8794,147.3294,59.0,51,75,13.8,AU,1614909137
Ushuaia,-54.8,-68.3,55.4,44,40,4.61,AR,1614909328
New Norfolk,-42.7826,147.0587,59.0,52,43,3.0,AU,1614909362
Vao,-22.6667,167.4833,77.61,73,80,7.02,NC,1614909363
Thompson,55.7435,-97.8558,26.6,68,75,6.91,CA,1614909070
Port Moresby,-9.4431,147.1797,87.8,66,40,18.41,PG,1614909364
Qaanaaq,77.484,-69.3632,-22.92,63,0,5.95,GL,1614909364
Dikson,73.5069,80.5464,-28.88,82,10,12.24,RU,1614909365
Yellowknife,62.456,-114.3525,-2.2,71,90,20.71,CA,1614909365
Puerto Ayora,-0.7393,-90.3518,75.99,98,84,4.36,EC,1614909366
Albany,42.6001,-73.9662,24.8,42,75,19.57,US,1614909367
Sainte-Anne-des-Monts,49.124,-66.4924,15.8,92,100,25.32,CA,1614909367
Avera,33.194,-82.5271,55.4,54,1,4.61,US,1614909368
Tautira,-17.7333,-149.15,87.8,62,40,3.44,PF,1614909369
Bredasdorp,-34.5322,20.0403,57.2,94,2,1.14,ZA,1614909370
Arraial do Cabo,-22.9661,-42.0278,77.05,86,100,20.85,BR,1614909372
Burgeo,47.6167,-57.6152,25.86,96,100,7.87,CA,1614909372
São Gabriel da Cachoeira,-0.1303,-67.0892,72.61,97,48,1.25,BR,1614909374
Bluff,-46.6,168.3333,59.7,68,100,8.66,NZ,1614909375
Chicama,-7.8447,-79.1469,75.76,70,99,4.43,PE,1614909377
Hilo,19.7297,-155.09,78.8,53,20,11.5,US,1614909377
Lithakia,37.7167,20.8333,42.8,81,20,3.44,GR,1614909378
Vaini,-21.2,-175.2,84.2,74,75,8.05,TO,1614909379
Quesnel,52.9999,-122.5029,53.6,30,1,17.27,CA,1614909381
Severo-Kuril'sk,50.6789,156.125,32.59,95,100,17.05,RU,1614909147
Port Alfred,-33.5906,26.891,66.99,91,4,3.0,ZA,1614909382
Jamestown,42.097,-79.2353,19.99,91,1,13.67,US,1614909382
Neiafu,-18.65,-173.9833,84.2,79,40,5.75,TO,1614909383
Port Elizabeth,-33.918,25.5701,66.2,94,40,12.66,ZA,1614909385
Mount Isa,-20.7333,139.5,91.4,9,0,9.22,AU,1614909386
Husavik,66.0449,-17.3389,39.2,75,40,16.11,IS,1614909388
Castro,-24.7911,-50.0119,64.53,95,100,6.78,BR,1614909389
Sembakung,3.8167,117.25,81.36,83,60,2.66,ID,1614909390
Tual,-5.6667,132.75,83.3,77,88,13.69,ID,1614909415
Moryakovskiy Zaton,56.6956,84.6467,26.01,69,100,12.48,RU,1614909416
Wanning,18.8003,110.3967,77.72,77,5,5.26,CN,1614909418
Santa Cruz de Tenerife,28.4682,-16.2546,63.0,94,75,18.41,ES,1614909418
Ilulissat,69.2167,-51.1,19.4,79,93,12.66,GL,1614909419
Abhā,18.2164,42.5053,57.2,67,20,4.61,SA,1614909239
Kapaa,22.0752,-159.319,73.4,73,75,25.32,US,1614909288
La Santisima Trinidad,-14.8333,-64.9,74.43,96,100,4.09,BO,1614909420
Butaritari,3.0707,172.7902,81.73,77,100,19.98,KI,1614909220
Punta Arenas,-53.15,-70.9167,53.6,58,90,4.61,CL,1614909422
Changli,39.7042,119.1506,35.74,72,93,22.86,CN,1614909422
Katsuura,35.1333,140.3,61.0,67,75,8.05,JP,1614909423
Tuatapere,-46.1333,167.6833,55.22,82,100,2.06,NZ,1614909424
Dongsheng,39.8161,109.9776,36.01,73,23,12.62,CN,1614909425
Tabou,4.423,-7.3528,78.57,88,99,8.32,CI,1614909209
Wagar,16.1525,36.2032,64.02,86,0,11.34,SD,1614909427
Novoagansk,61.9449,76.6625,15.19,97,100,4.52,RU,1614909429
Busselton,-33.65,115.3333,72.0,89,68,1.01,AU,1614909430
East London,-33.0153,27.9116,70.57,77,26,15.43,ZA,1614909431
Ericeira,38.9627,-9.4156,57.0,86,98,4.72,PT,1614909150
Barrow,71.2906,-156.7887,-22.0,57,1,21.85,US,1614909433
Lixouri,38.2019,20.4314,51.06,67,0,4.27,GR,1614909433
Naples,40.8333,14.25,50.0,81,0,1.14,IT,1614909148
Pacific Grove,36.6177,-121.9166,57.2,62,1,8.05,US,1614909236
Mahon,39.8885,4.2658,46.4,93,0,6.91,ES,1614909435
Hithadhoo,-0.6,73.0833,84.36,62,14,8.52,MV,1614909436
Waingapu,-9.6567,120.2641,84.11,72,71,12.21,ID,1614909438
Heze,35.2431,115.4411,58.12,56,100,8.19,CN,1614909439
Bosaso,11.2842,49.1816,74.39,80,7,2.86,SO,1614909440
Buraidah,26.326,43.975,55.4,58,0,14.97,SA,1614909144
Novaya Igirma,57.1334,103.9112,-1.01,86,97,6.02,RU,1614909441
Kushima,31.4583,131.2333,68.0,68,40,14.97,JP,1614909441
Tieling,42.2931,123.8414,22.17,90,100,16.91,CN,1614909443
Province of Mantua,45.1667,10.7833,46.4,76,0,5.75,IT,1614909444
Mar del Plata,-38.0023,-57.5575,69.8,83,90,11.5,AR,1614909357
Sistranda,63.7256,8.834,33.8,86,90,21.85,NO,1614909445
Medicine Hat,50.0501,-110.6683,44.6,53,20,9.22,CA,1614909446
Tiksi,71.6872,128.8694,-20.74,87,95,5.64,RU,1614909447
Flinders,-34.5833,150.8552,71.01,49,40,19.57,AU,1614909448
Mizdah,31.4451,12.9801,51.91,45,100,13.29,LY,1614909449
Debre Birhan,9.6833,39.5333,48.47,51,24,4.7,ET,1614909450
Avarua,-21.2078,-159.775,84.2,79,100,5.75,CK,1614909452
Atuona,-9.8,-139.0333,79.93,75,12,12.57,PF,1614909452
Lompoc,34.6391,-120.4579,57.2,67,20,9.22,US,1614909475
Acarí,-15.4311,-74.6158,74.5,68,97,3.27,PE,1614909475
Lere,10.387,8.5726,67.71,23,0,6.33,NG,1614909475
Belmonte,-15.8631,-38.8828,77.0,73,40,8.05,BR,1614909476
